Prompt,Essay
"Anti-Aristotelian Kane If the purpose of art is, as Aristotle posited, to"," understand and to convince, then the artist's task is simply to produce works of the most refined beauty. This does not mean that the truth of a work should not be allowed for in any sense, but rather that it should be understood and believed in as a truth, not merely as beauty or eloquence, which may be aesthetically pleasing but cannot be truly attested. (On Aristotle's Critique of Poetry, vol. 2: Chapter 18, translation by A. S. Millar)

Aldo Iyengar And if, instead of aiming to make a beautiful image of an object, you intend to convey something through its form, how can you tell the difference between a good photograph and a bad one? (Pall Mall Gazette, 3rd May 1984)


With these questions in mind it will be helpful to know a little about what I have in common with the ancient Greek philosophers and poets. In particular I am deeply indebted to my teachers and mentors at Stanford University and Cal Poly San Luis Obispo. The first thing to be said is that I hold no brief for any of these ancient teachers or their students. I do believe they were all excellent human beings, brilliant in their respective ways. But being a student of theirs I would be remiss in not considering what they had to say about the objects of their study. That is the topic of this essay.
PART ONE
Introduction
1
T HE FIRST MOST IMPORTANT THING ANYONE SHOULD KNOW ABOUT THE
CLASSICAL SCHOOLS OF PHILOSOPHY AND ART
is that they taught that, like other great scientific systems, such as the natural sciences, the classical schools of philosophy and art both flourished in the fourth and fifth centuries bce. Both systems were well established by the beginning of antiquity. Their principles and methods of operation were clearly articulated and were developed throughout the course of time.



 
The ancient philosophy of Plato and Aristotle was an ancient system of thought, although it has undergone modification and transformation since the time of its origin. Plato's and Aristotelean philosophy was a form of natural science. It was concerned with questions of reality, nature, and being. For example, Plato held that only the form and its manifestations were real. He considered all phenomena to exist as they appear in our experience; but he also asserted that appearances are only names, abstractions, or symbols, used to designate what is actually present. So while Plato described his system as metaphysical, it was actually a scientific one. More important, however, is Plato’s own explanation of his doctrine of forms. Although he did not explicitly define the word, he defined the essence of being as an unchanging, unifying substance that is neither divine nor created, nor evil nor good, neither good nor bad, though all things are alike to him. Therefore he argued that all entities are composed of similar forms, each of which possesses a single, single quality or property. And yet, because there is no real separation between the forms themselves, they are all alike unto him, for he is one, having the same essence with them all. [2]
But unlike the modern philosophy, whose philosophical questions are concerned solely with what exists, ancient thought was characterized by its concern with knowing what did and did NOT exist. Ancient philosophers were concerned to investigate what was real and what really existed. Philosophers like Plato, Aristotle, Xenophanes, Anaximander, Pythagoras, Democritus, Eratosthenes, Cicero, Seneca, Plutarch, Horace, Lucretius, Homer, Hesiod, Euripides, Dante and St John of Garlia all had their own views about reality and reality itself. They rejected every form that purported to represent or describe reality. Such a view contradicted the very nature of life itself, since life was thought to consist in living in accordance with one”s physical needs, satisfying one's basic biological and physiological needs. To believe in such an existence was unthinkable. Nor was it acceptable to believe that any being is inherently good or evil. Thus, even the gods, who were considered the highest beings in all of Greek religion, were thought of as beings who merely exercised their power by creating and destroying, by virtue of some unseen, unknown force, upon their creation. Whatever the reason for creation, humans were supposed to discover and use it in order to satisfy their physical desires. However, once a human reached a certain level of sophistication, learned how to manipulate the forces of nature and think for himself, eventually he could transcend the limits of human power and learn new ways of thinking, expanding his understanding of what it means to live and die. Throughout the history of mankind, people have tried to find out the answers to these kinds of problems."
Classical and Modern Representations in O'Neill The playwright Eugene O'Neill brought many innovations to American drama.," In his 1887 ""American Dramatic Literature,"" the New York-based poet and critic Charles Eliot wrote that O'mill was ""the only truly modern dramatic artist since Shakespeare."" In fact, O'dill's plays have influenced generations of theater writers. The first of these early influences can be traced back to the earliest years of the 20th century, when playwrights like Ernest Shepard and Arthur Miller were influenced by O'llin's style, methods, and approach to writing.

O'Neal's first play at Chicago was published in 1907. It quickly became the most popular play of his year and played on Broadway five times over. His second play, A Little Night Music, debuted in 1908. This play focused on two girls from different backgrounds who both find romance in a one night stand. Although the plot was much more complex than O';Eill&#39;s first work, the actors in the play performed it flawlessly. Both of O´nels' plays were extremely successful, with the first one having a sell out run at Newberry and Broadway. These two plays remain among the top ten best selling plays of all time.The third O 'nelly play he wrote was The Great Gatsby in 1923. Like A l Little NIGHT Music this play dealt with high society and its seemingly idyllic lives. Critics compared it to James Joyce and Tolstoy. O""nelli based the dialogue for this stage version on the novel The Story of an Irishman. Not surprisingly, it lost sales even though it was one of America's most successful plays. One of several plays O`Nelly wrote while in France, The Seagull was released in Paris in 1946. Based on an actual story, this classic was a flop.As a result of their success, various American theater companies wanted to produce O `nellys other plays, including an adaptation of Moby Dick, a play based on Herman Melville&apos; Robinson Crusoe, an ode to Francis Scott Fitzgerald, called Fanciful Theatrical Fiction, which was based upon his short stories of 1920, another play about American history, Americana, based off of a novel he co-authored with his wife, Toni Morrison, produced in 1953, as well as the Pulitzer Prize winning play The Ice Man. Throughout his career, few if any of those plays or any others like them have ever been produced.In addition to being one the greatest poets in America, Eugene J.O`nelles also became one heck of talented dramatist. Many ofhis plays set new standards for theatricality. He was known for his poetic power, vivid storytelling, sophisticated and beautiful dialogue, unique staging and acting techniques. Other than being a member of Actors Fund Theater, no other theater company in existence used so many of Eugene &#8217;Es&oacute;l&iacutei.&rdquo;"
"THE LADDER: Sexuality of Ancient Greece as an instrument of social mobility Anacreon once wrote a lyric which included the lines, I"," climb down to earth and let my body be taken away from me, my mind with it. (A.V. E. Hay)

“Greece has long been the target of writers who claim that it has nothing in common with the ancient world. In fact, Athens is the most successful Greek city, culturally speaking, because it makes the Greeks more visible than any other city in Greece. The Athenian way of life and its achievements have influenced all aspects of human culture. More important than all of these things, though, is that Athens, on both religious and political terms, represents a cultural model for other cities.”(Anacreontica) – (source) “The word ‘Greek’ is actually a mythological term meaning those of a specific ethnicity or country whose origins are lost to history. This term was originally used to describe peoples who originated in western Asia Minor, southern Europe, western Africa and northern Africa. Throughout the history of the civilization, Greek people have repeatedly used this term to refer to their neighbors, who they thought were superior to them by virtue of their ethnicity. Thus, for example, when I first began to study Greek history at a university in the 1970s, the department made fun of me for saying that I went to university at Rhodes, not Athens. Many of us believed that our new Greek names were the result of having Greek ancestors and being given Greek features. We had no idea what Greek means. But now that we understand that there was a Greek tradition of writing our language, we can say with greater confidence that the expression ’Greek people‘ is simply an abbreviation of ”Hellenic—. So much of what we think of as the „Hellenisms‟ of today are the same as those found in fifth-century BC Greek literature. Not only did Hellenism emerge in Rome, but the Romans also became Hellenes.
But what does a ‚Greekness‛ really mean?
Is there a natural way to be a Hellene? What kind of Hellas is there? How is one to express oneself in such a way that one can present oneself to the outside world? When one speaks about Greekness, one usually wants to know whether one is like other people. Is there any reason to speak of one‴s own Hellos, or is it a matter of just looking at oneself and feeling how one looks and feels? And why should one want to talk about oneself? It seems that any statement that describes one's personality or personal style of being is bound to produce a false sense of self-assurance, since the truth is always different from the image one wishes to project. Our self images are our representations of ourselves in society and in our own mind. Therefore, anyone who assumes that he is Greek is setting himself up for failure. He may be able to successfully pretend to behave like a member of another ethnic group, such as a Turk or a Muslim, yet he will never be accepted as one of his own ethnic community. Consequently, he may begin to feel like an outsider and become anxious, resentful and suspicious of others. If he still tries to act Greek, others may perceive his efforts as attempts to undermine his ethnic identity. Yet, if he changes his behavior, his ethnicity is seen as something that is irrelevant and unnecessary. His self image is reinforced by his self impression, and he begins to lose his ability to communicate effectively with others.(Anacr.11.10) 1.2. Self impression is created in childhood. 2.1. Characteristics of an individual person A. Physical characteristics
Age: early adulthood, middle age, old age. 3. Social and Political characteristics/behavior
Ethnic affiliation: Attic-Greek, other, unknown. 4. Personal qualities
Ability to write: yes, limited. 5. Ideal traits
Dependability: limited to some degree. 6. Religion
The gods: Zeus and Apollo. 7. Legal codes
Family and friends: wife and children. 8. Religious affiliation
Ages: pre-Homeric (prehistoric period). 9. Pastimes and hobbies
Foods: reading, poetry, singing. 10. Recreation
Sport: physical exercise. 11. Public and private
Education: high school, college, university. 12. Work
Service: volunteer work, business, industrial work. 13. Interests
Entertainment: art, literature, cinema, music. 14. Lifestyle
Money: none. 15. Spending habits
Other: perhaps traveling, drinking, smoking, gambling. 16. Practical knowledge
Language: English, French, German, Spanish, Dutch, Arabic. 17. Media
Books: newspapers, magazines, books. 18."
"Margery Kempe's Self-Fashioning: Visioning Herself in God The Book of Margery Kempe, considered to be the first"," self-fashioning book, was published in 1894. The self has undergone a lot of changes since then but the essence of selfhood is the same. In fact, this is one of the most profound books I have ever read about self and self love.



“When I thought of myself as a girl, I felt it; when I think of me as woman, not so much, for that makes you go a little mad. You see, my mind is only made up of ideas, and ideas of things I can never do. This is what I call my being.”
--From 'Self-Revelation', a poem by Margaret Sanger
―― From the book Self -Fascination



"
Learning One’s Place in the World An Analysis of the Evolution of Eve’s Understanding of Natural Patriarchy in John Milton’s Paradise Lost John Milton invokes the aide of a muse at the," beginning of his epic poem, Paradise lost, when he takes a journey across the Atlantic to seek the help of an artist in Florence. The artist sends him on a voyage through the Mediterranean Sea, which Milton describes as a “great sea of water, with many islands.... so many as the Isles of Greece and all nations;.[a] but some of these islands are as large as isles of Norway.” In Paradise we learn that God has created the earth and its people. This includes Eve who is created in God‘s image, as well as Adam, who will be a sign for future generations and a leader of people living in paradise. In order for Milton to communicate with this artist, Milton requires the Muse to be able to speak with the poet and to understand what Milton is trying to say. Therefore, the poem begins by asking us to think of ways in which our minds can be used to express God.

Milton is the first of several artists to play a similar role in Paradise. Other artists have followed, such as Lucretius (Paradise Regained) in Book I of Virgil‟s Aeneid, Dante and Donatello in Virgilian poetry, Petrarch and Tasso in Latin poetry. Many other Renaissance and early modern artworks are known to quote or employ Milton and other major literary sources, although they are still considered relatively anonymous. Even so, those Renaissance painters and sculptors who incorporated Milton into their works are often called „Muse“ artists because they were the ones who actually invented the role of being in Eden with Adam and Eve.


A Muse in Heaven The world of Milton does not start in heaven, though it does end there, but instead begins in an actual garden named paradise, where the Divine Muses live and work. Paradise is an ancient name for the Garden of Eden, a spot where people went to meet with God in order to worship him. Milton took this place very seriously and designed the garden in such a way that it would be completely like heaven. He also included the phrase ‚where from out of all the Earth‛ in each page, suggesting that the muses of heaven could speak directly with him and tell him what to write in his book of poetry—something that he would not be allowed to do. Both of those features are associated with Paradise as it has been described in literature and in many paintings. While Milton lived, many books were written about the history of Paradise and the origin of its musics. One of them, called Milton, was published in 1674. It is a book that contains a commentary on Paradise by three poets, Horatio Spenser, Edward Young, and Sir Philip Sidney. That book was compiled by Robert Dodsley, whose work was popular among readers of English translations of classical literature. Sidney‒Sylvanus and Horace also wrote commentaries on the Milton story. Throughout Europe, scholars were interested in finding any information about Paradise available. Some of their efforts resulted in some great discoveries. Just as Milton explored the land of paradise for his musically inspired story, astronomers used the same approach to chart the course of heavenly bodies. They tried to figure out the most accurate way to predict the positions of celestial objects. Since every celestial body has an orbit around the sun, they decided to look for a star system that would align perfectly with that orbit. Although this is only one method of identifying stars, it is one of today‖s most successful. There are other ways to determine the position of stars and planets, however. For example, scientists use the Doppler effect, an increase in apparent speed due to a relative motion between the source and receiver. By using a laser to send a signal back and forth over a long distance, you can determine just how much the object moves relative to you. With the recent launch of NASA‌s New Horizons spacecraft, we can find out more about what it will take to get there. Did you know New Horizon s exact mission is to study Pluto? That‱s right! The spacecraft※s name is derived from a Greek phrase that means ›pluto‴, meaning ‹the bull›. (See the ‰Greek for ′or‷). It was discovered in 1989 by two space buffs named William Draper and Wally Schirra, both members of Lowell Observatory. Lowell is dedicated to finding and studying minor planets and comets, especially those that come from outer space. Prior to this, no one had really thought about Pluto, until astronomers in France and Spain started to discover these strange bodies in 1979 and 1980, respectively. When Draper suggested"
"Charity in the Character of Sir William Thornhill In the novel, The Vicar of Wakefield by Oliver Goldsmith,"," there is a chapter where a man named Mr. Stokes is killed on the way to the execution of his sentence. The plot develops around the death of a fellow clergyman who is trying to prevent his brother from following his example and killing the hangman. This is the only example of charity in Sir Will's character, and he is particularly good at it. (1) This does however seem to contradict that which he says in an earlier scene when he goes out to visit Sir Rowland Hill's wife and expresses his regret that he will never have the chance to meet her again: ""My dear madam,"" he said, ""how sorry I am to hear that you have been such an object of envy to me, for my own heart has long lain awake at nights thinking of you."" (3) However, in all honesty, I can't say I feel anything like regret for his having been so cruel towards his wife.

"
With Magic Comes Power: Exploring Marlowe’s Doctor Faustus and Shakespeare’s The Tempest When an individual reads Christopher Marlowe’s The Jew of Malta," (c.1590), the first thing they think of is the Jew. But what if you could get to know another human being in the same way, for example, that I do? What if, instead of thinking of a doctor as a stereotypical white male, you were instead to think about Marcellus Wallace or Elizabeth Barrett Browning or even Thomas Wyatt or Thomas Morley as your character in your novel?

As a writer, I often find that when I go into my research, with the intent of creating a story, my first inclination is to write characters who are as different as possible from my own. This is especially true of characters that would be out of place in fiction. In other words, writers want to find out who they are. The problem is that it‘s hard to tell someone from another. Our imagination can sometimes make us believe that our friends or our enemies look very similar, but they may not, because they“look alike” in different ways. Marry your neighbors! The best way to test how much you love or loathe a person is by examining their personalities. You may discover that you have a lot in common with them, or you may become bored with people that don‟t make you happy. (In fact, Marley and Marigold are both named after Irish women.)
It is interesting to me, however, to discover how little some writers know about the real world. Just because the writer is trying to be different, does not mean that they should be. I suspect that this is one reason why writers are so quick to quote Dickens or Chaucer, who wrote stories that are completely different from their real-life counterparts, when they happen to mention those authors‚Äô works in their stories. Many writers feel that, since they only know the fictional work of their idols, they need to put it in context. That is simply not true. Not all fictional works are equal. Some of these works, such as Ulysses, are meant to inspire awe. Other works can be downright offensive. And yet, others are truly wonderful, and are fully as important to our literary lives as the Bible.
The problem begins when we start thinking about fiction like we think we know our actual world; that is, we begin to miss the forest for the trees. We forget that fiction is not reality, nor is it the truth. Fiction is created by writers who want something different than our own selves, something we never knew. Therefore, let‌ís not forget to open our minds to the possibilities of fiction, including literature. As Marleys and Barts read, write, perform, compose, dance, lecture, cook, learn, dream, yearn, grieve, despair, hope, hate, love, fear, praise, curse, beg, complain, give, thank, condemn, pity, console, caress, embrace, apologize, weep, laugh, play, live, sleep, strive, die, take, leave, build, break, forge, fail, shape, choose, lose, recover, win, keep, nurture, nourish, protect, welcome, celebrate, understand, accept, forgive, endure, suffer, overcome, face, look, breathe, see, feel, smell, taste, touch, listen, hear, experience, reflect, contemplate, record, reproduce, reconstruct, re-create, recite, imitate, repeat, mimic, sing, shout, prate, lament, pray, adore, glorify, confess, expound, declaim, express, exhort, urge, incite, entreat, persuade, counsel, command, motivate, inspire, stimulate, spur, move, drive, frighten, disturb, intimidate, injure, annoy, alarm, astonish and astonishment, bewilderment, confusion, disappointment, remorse, contrition, surprise, disquiet, grief, distress, anguish, chagrin, sorrow, anger, sadness, dismay, shame, humiliation, regret, dissatisfaction, disgust, displeasure, indignation, resentment, incredulity, rejection, disapproval, ill will, disdain, contempt, scorn, reproach, censure, hatred, dislike, distaste, revile, taunts, jeer, taunt, insult, ridicule, calumnies, slander, denigrate, derogate and demeans, humiliates, ostracize, flatter, besmirch, trample, kick, strike, assault, raze, demolish…
I remember how difficult it was for Marm to talk to his wife, Rose. Rose was an artist whose work was published by two New York publishers, John Wiley & Sons and Macmillan. These two publishers were the"
Female Bonding in Roxana The bond between Roxana and Amy is not a standard," ""normal"" couple. But after a long courtship, they begin to bond over a shared love of music. In fact, Roxane and Emily (and later Amy) enjoy singing together. The couple have a lot of fun with the idea of starting a band together!

But when their relationship starts to fail, things get really awkward. Finally, when Amy has had enough and decides that it’s time to leave Roxanah, Amy‘s departure is one of the most bitter endings of all of their stories. This bittersweet story is about more than a girl leaving her boyfriend. It“truly” is “about a relationship„—between two women.‡
A romantic comedy, You‟re My Everything is the third and final season of „the best teen teenage‱girl movie‚ ever‹.
Season three focuses on Roxanne, who is struggling with her relationship with Amy and wants to be happy. She tries to win back the friendship that she lost with Roxanna, but the two girls have an uneasy friendship. Roxie and Roxann are trying to understand each other and learn from each others‌ missteps.The show also introduces some new characters:‍Mitch, a cute guy who‴s just getting into high school, and Dean, an older boy that wants only to impress Roxena. Mitch is also a senior and a member of a sorority, so he″s definitely ready for college. Although he has a crush on her, Dean is very shy and nervous around her. There are also several memorable cameos, such as the hilarious duo from The Breakfast Club (Bobby and Jerry from the hit TV show), the preppy Mr. Jones (Randy Quaid from Mad Men), a hot-headed J.T. from 90210 (John Turturro from Arrested Development), and one young lady from a high-school production of Guys And Dolls (Peyton Liston).
It was co-created by Jon Cassar and Jessica D. Williams, both of whom are known for writing teen dramas. Cassarin and Williams were also the creators of HBO's Girls. Their first two seasons were written and produced by Tim Kring, whose first writing job was as writer/executive producer for American Horror Story: Asylum and its sequel, American Psycho. Both episodes of Girls were produced and directed by executive producers Jonathan Tropper, Sam Rockwell, Simon Baker and Rachel Bay Jones. Girls was released in February 2010 and finished airing on April 1, 2010. After its release, Girls became oneof the top five highest grossing cable network shows of 2008 and 2009. According to Nielsen Media Research, the fourth season earned a 3.2 rating among the teens 18–24, beating out the season three premiere with a 2.0 rating. Season four was seen by 7.5 million households and was watched by 8.3 million viewers. A fifth season premiered in January 2011, with season five being set to air in November 2012. With the success of its third season, HBO decided to order the rest of Season 4. 
› ‭The series is loosely based on two different novels: ‪You′re  My‏ Everything‬ by Margaret Jansen and    The‗ ‖ Girl‽‎ by Sarah M. West. [※‰]The books are fictional and don‵e‛t include any scenes of actual events. While the novel series received critical acclaim and helped establish †You're My ‹ Everything as a mainstream book series, ‾you can find the first and second novels at Amazon.com under the ‐ ′You Have Me‿ , •Books‥․ and then you can read the sequels in paperback.

 ※ ‰ ›
(1) ""When I Read This Book, I Wouldn‷t Think Anything Like That"" – The New York Times, April 5, 2011
 (2) ‡ ""After the Promise Land"" - Los Angeles Times Online, June 15, 1999
 ‴ ‸ ” ’ —
 # ″ ‱ ‒ ‘ ‖ ‗ ‚   ‌ ‍ ​         ―   ‑ ‫ ‬ ‮
\ @ – ‏ ‣‼ ‿ … ‥ ‧       ‽ ‼
 ♦♡♠♣♪♫♬♭♮♯♰♱♲♳♴"
"The Purgatory of the Postmodern Character and Action in Beckett’s “Godot” and “Endgame” ""That God does not exist, I cannot deny. That my"," life could be a vain dream — if God were to exist. But how could you say that, when we know that God is simply not there?""

""I have tried for three years to write this book, to put it on paper, with the same exacting patience with which I have always written it. The result has been, no less than I hoped, a failure. I can only say 'the effort has not been in vain.' I do hope, however, that the manuscript will one day be read, and that it will influence other writers in the way it has influenced me, who feel that they should follow the example set by Godot.""
A.S. Mill
(from God's Gift, The Complete Novel, (1923) [written in 1922])
My Dear Friends,
It is a pleasure to be able to tell you that I am well and nearly ready to start work on another of my novels. In fact, now that my health is somewhat better, my appetite for writing is greatly enhanced, for I enjoy the novel so much that almost any subject seems interesting at times. Although I must confess that as a boy I was a little given to writing about anything but serious topics.
Novels have been my chief delight ever since I first read Conrad and then myself, though I used to read in English for fun, because I thought that would help me to understand what I should want to say. As I grew older I became interested in serious subjects, but until now I never felt able or willing to tackle a serious novel. This is the reason why I feel a strong desire to begin writing again. If I could only get into some kind of a routine, perhaps I would be spared many hours of solitude. Perhaps I may be allowed to stick to serious study for a year or two. Anyway, such a thing would probably give me more time to work, so please excuse my eagerness to get back into the habit of writing. Having said that...
1. Please forgive me for saying so many things I wish to keep to myself. Writing a novel is like talking to someone who is deaf. Whenever I mention a name, word or phrase, the person I address nods and agrees to talk about the topic. Many of these things are still true of me even now, although I seem to have forgotten them completely. So please don't be surprised if you hear me ask you to do something I'm not up to doing. (I think that's why my writing has become rather difficult.)
2. Now, about those two subjects you mentioned, namely, ""God"" and ""the church."" Do you know whether I meant that in terms of being God or in regards to being in a particular church? Well, let me try to explain. When I write about religion, it is only in order to express my opinion. You may object that this is wrong, since everyone is free to believe as he or she wants, or may not care to know the truth, especially since the church is constantly under attack. Well...that is true, yes, certainly. Still, speaking of freedom, isn't there really such an important thing as the freedom to choose? And if we are going to speak of choosing, shouldn't we also speak about believing? Of course, you see, this line of argumentation is circular. It is neither possible nor justified to infer from the fact that one is in favor of religion that either one believes in God, nor is it possible to prove that anyone who does believe in such things is actually a member of his or her own church. Both of us are free people. We can go to Hell without knowing it! But we can also choose to go there, if that is what we want. Oh, dear me! I know it sounds silly, coming from a writer, yet it occurs to me that all this might be helpful in trying to figure out the meaning of certain things. For example, doesn't it occur to you, as you consider my book and its author, how much the choice of your book has contributed to making me look at things differently? Isn't that true? Aren't you afraid that if people continue to make such choices, their minds will be attracted to the kinder side of their faith? Why, then, donâ€™t you think it would stand to reason that you would have a harder time of it?
3. Regarding your question concerning the existence of God: I think you are mistaken in your idea that there is something about God that makes him real. Certainly, there are things about him that make him non-existent, like the idea of omniscience, etc., but the point of view from which"
"Cúchulainn’s Women, Loki’s Children Power & Femininity in Two Mythic Figures The Nordic figure of Loki and the Celtic figure of"," CúChulainsna are often placed on opposite sides of the same coin. Both are characters that give us a hint of their relationship to our world. Loki is the most powerful god in Norse mythology, although we never really know much about him. He has the power to bend nature and to turn things to his will. In some ways he‘s like Nature itself, and in others like Zeus himself. This is one of those stories that is best understood if you begin with Loki as a man. Lothbrok, who was Loki”s father, ruled Asgard as king. However, Lohbroks wife and son were killed when Loki was only 2 years old. The gods banished his mother from Asgard and gave her one year to wander through the Earth. She was given a name and a place by which to live. They called her Cáchachulan. (In fact, CÚCHULAINNA is an ancient feminine name for her.) Loki grew up in her home and it was at Cánacht that his powers were first developed. Although he was very much a monster, he began to change in his power and appearance over the years. His transformation into Loki began with his conception. At the moment of conception, his belly was flat and red, suggesting a mixture of blood and semen. Throughout his life, however, it has been his skin color that has changed. Initially, when we see Cunhgail and Loki together in Finnian mythology they appear as different individuals. But after Loki matured he turned into what we call Lórunn in Grettis saga, son of Odin. Cunnhghail was no more than a boy when she conceived Lollór. When Cuntgill was born, her body was a full-grown woman, having assumed the form of a goddess. We can see this in several of his names, such as Ulla, Hálfdán and Eðgíla. Other than being a half-woman, each one was capable of great physical strength. Eithgils (she who is “the woman of war“) is called ‘The strong-minded and powerful goddess who takes a strong lead among the men, because she holds a sharp sword and wields it with the skill of an expert warrior‛. It seems that CUNHGILL was the only woman in all of Europe who could match up to Loki. As long as she remained a child, the two would not have been as close as they eventually became. Not only did Loki become the father of Eithel the blacksmith and Cnut, but he also became father to many others as well. All of these people were the children of other women. Their mother‟s names were usually not known to us. For example we know Eiríkr and Frigg that were Cunts. And though we don„t know the names of some of them, we do know that it wouldn′re better to be cautious about naming children after the gods, since they may end up being their parents. So there was one woman who gave rise to so many offspring that the history of Iceland is replete with them. Many of us know our mothers and grandmothers, so we can say that I have a sense of what it must have felt like to meet your mother for the first time. I can tell you that she was beautiful and that every woman is beautiful to me. That was my mother. [Loki is actually a composite figure. There are other people involved in the creation of him, including Agave, Surt and Anu. Suttung, whose name means „the sky‖, is a female character in Norwegian folklore. Nils S. Gunnarsson, a Norwegian author of children‡of myth, wrote that SUTTUNG was ‌not a human being but an entity created by herself. Therefore, no human can truly understand what she is like•, according to this writer]. It is sometimes said that Einherjar was created out of ‹Einn› and ※Éinn». While the majority of people agree that these two names belong to Einn, Eind and Inheir, they argue that they should be used together. Others believe that ’Eind (Inheirdr) should be read as the ‭Ihinn d‽ (‬‫‰  the ‬I‱) of‭ ‴‹. If we keep the reading of hinn as æinn or ihti, then Einsetung should"
"This Man Loved Earth, Not Heaven, Enough to Die Death, Imagination, and Reality in Wallace Stevens’ The Man with the Blue Guitar ""We are born to die."" —SHAKESPEARE, Romeo and Juliet Wallace"," W. Stevens, the most original American poet since Emily Dickinson, wrote The Woman in White as a companion piece to his most widely read poem The Circus (1852) and to another of his greatest poems (The Rake), a novel in verse, The Woodlanders (1907). Stevens had no interest in poetry when composing these two poems, though, but he was willing to let them speak for themselves. This is the poem that made the front cover of the 1922 Broadway play Romeo! and which was perhaps the last great American song ever written:

I have been to the sea; I have seen land. / But now I go to see my friends— / To find out who I am and why I sing.
In the garden all is green, / Under the trees all are red, // And flowers on the ground / Are like diamonds. In the streets / Is all activity; / On all sides the noise of life. // The world is wide, it is good, & there / Life is sweet. The children are laughing / While I sit alone, half-starved, lonely. … / The music of love is in my heart, … // My heart beats for you and for your love.…
A voice so sweet can break the spell / Of all the sadness of a world. —ROBERT SAINTSBLOOD
But this is not the only poem of which Stevens has been the subject. He may have written over forty. Many of these poems are lost, except for fragments, until they are finally rediscovered by his students, who hold them in deep reverence. Almost all were first published in magazine forms, such as the New Criterion or Poetry, or in book form, including “The Woodlander” and The Waste Land. All are still important. Indeed, Stevens does not seem to have left many traces of himself after his death. His poems appear in all collections. More than a half million copies have survived. Only a few of Stevens's poems have become classics. But how many will survive the test of time? That is a question of much importance to poets today."
"Rejecting Colonial Memory It is clear that a collective historical memory, which in"," itself is bound to be a form of denial, cannot be maintained if it does not reflect history at all. This article examines the history of black resistance to slavery, in particular the antislavery and radical Reconstruction movements, with a specific regard to their relationship to European imperialism. The colonial memory of slaveholders and colonial administrators was seen as a justification for racism, repression and genocide against Africa and its people. In the context of a largely Euro-American culture of racial capitalism, such an approach could also justify colonial violence against African peoples, often in the name of combating ""racial interlopers"".

A critical discourse on colonialism is thus required, not only to understand how racism has defined the way in which black people have been viewed in history, but also what it has done to African people's consciousness about themselves and their past. Taking the black radical tradition as an example, the essay below explores how European colonialism has had a powerful effect on the ways in both Africans and Africans have viewed themselves, their history and the African diaspora.
It is important to recognise that colonialism did not create a linear history; rather, colonialism brought together the different parts of Africa’s history into one, and in so doing, shaped them individually. It created the basis for the modern idea of separate nations, bringing together different groups of people who were perceived as different, for example in terms of language, religion, ethnicities, languages or customs. Through colonialism, Africans were forced to reconcile their own histories and lifestyles with the cultures of other groups. Therefore, there was a continuous and complex process of reconciliation. However, when Africans do view themselves through this lens, they perceive their lives as part of the same larger project. Their sense of being different from other Africans is seen through the lenses of their shared history with others and a shared concept of oppression. Thus, while they maintain a sense that they are different – and that their roots go back to other peoples of African descent – they still acknowledge that the majority of Africans today are the descendants of Europeans, or other members of European societies. Although they experience a lot of discomfort within their communities, African Africans still see themselves as equal members. They are able to point to this equality and claim it is based on their understanding of themselves: I am not part Negro but instead, my ancestors are. (Bukharin, 1996).
The essay argues that, although African history is one long story of war, slavery and oppression, it can never be told in a one-sided manner. Instead, a historical narrative needs to account for how Africans understood their self-identity throughout their development. Colonial memory is a common feature of much modern literature, films and television programmes. History, therefore, needs a way of speaking about history that includes a recognition that it involves multiple perspectives and points of view. Ultimately, this is the key to understanding why colonialism exists. Without acknowledging the multitude of perspectives, we risk losing the ability to unpack the complexities of issues, because we cannot see a whole truth in any one perspective. Not only is there a complicated history to speak about, since it requires us to accept the existence of multiple histories, each with their respective strengths, weaknesses and contradictions, no less so is it the case that individual viewpoints do not add up to a single picture of reality. To find the truth, one must consider the many sides of an issue. One must also consider that not all viewpoints are equally valid, especially when we are dealing with subjects whose lived experiences are difficult to fully comprehend. Both of these requirements mean that historians need to keep an open mind about what they say. Embracing a multiplicity of viewpoints means that we can appreciate that our interpretations are not the only ones that are valid. Our interpretations need not be accepted as the most accurate of all, nor those that would be considered the “correct” interpretation of certain issues. We need also to question whether our own interpretations of history are truly valid and meaningful, even if they appear to support a certain viewpoint. If we do make these assumptions, then we lose our ability properly to know the complexity of events and to produce meaning from our historical analyses. As a result, scholars need develop a set of skills that allow them to look at historical issues from a variety of vantage points and perspectives. Many of us believe that having the knowledge and skills to do this will contribute towards a greater ability in our work. At the heart of this process is developing a ‘perspective‘. A perspective is not a view, merely something that appears to correspond to some information. Rather, someone holds a perspective on something, understands what that something is and seeks to make sense out of it. Having a strong perspective can help us identify aspects of life that may otherwise go unnoticed, as well as reveal new aspects to explore. Given this, let me suggest that learning to develop"
